**** Branch Target Buffer Info ****
Index   Inst Type   Address   Target Address   Valid
-----   ---------   -------   --------------   -----
    0                     0                0       0
    1                     0                0       0
    2                     0                0       0
    3                     0                0       0
    4                     0                0       0
    5                     0                0       0
    6                     0                0       0
    7                     0                0       0
    8                     0                0       0
    9                     0                0       0
   10                     0                0       0
   11                     0                0       0
   12                     0                0       0
   13                     0                0       0
   14                     0                0       0
   15                     0                0       0
   16                     0                0       0
   17                     0                0       0
   18                     0                0       0
   19                     0                0       0
   20                     0                0       0
   21                     0                0       0
   22                     0                0       0
   23                     0                0       0
   24                     0                0       0
   25                     0                0       0
   26                     0                0       0
   27                     0                0       0
   28                     0                0       0
   29                     0                0       0
   30                     0                0       0
   31                     0                0       0


**** Branch History Info ****
Bit Pattern   Predictor State
-----------   ---------------
       0000                00
       0001                00
       0010                00
       0011                00
       0100                00
       0101                00
       0110                00
       0111                00
       1000                00
       1001                00
       1010                00
       1011                00
       1100                00
       1101                00
       1110                00
       1111                00
       0000                00
       0001                00
       0010                00
       0011                00
       0100                00
       0101                00
       0110                00
       0111                00
       1000                00
       1001                00
       1010                00
       1011                00
       1100                00
       1101                00
       1110                00
       1111                00
